ID,Commet,words2
gwangjin00,"🌸조만간 보게될 부농분홍한 세상🌸 성동구~동대문구~중랑구~의정부 까지 이어지는 중랑천 벚꽃길,,💗  동대문구에서 개최하는 봄꽃축제에 공연,포토존,야간경관조명까지 갓벽 울랄라세션도 온다는데 귀호강미쳐땃  📍중랑천 제1,3체육공원,장안벚꽃길 📸포토존 및 야간경관조명 3/20~4/10 📅공연일정 3/30(토) 19:00~21:00  #서울벚꽃축제 #서울벚꽃명소 #중랑천벚꽃 #중랑천벚꽃길 #중랑천벚꽃축제 #봄꽃축제 #봄데이트 #서울축제","['조만간', '부농', '분홍', '세상', '성동구', '동대문구', '중랑구', '의정부', '중랑천', '벚꽃', '동대문구', '개최', '봄꽃', '축제', '공연', '포토', '야간', '관조', '울랄라세션', '호강', '중랑천', '체육', '공원', '장안', '벚꽃', '포토', '야간', '경관', '조명', '공연', '일정']"
knp9972,아 마져 곧있음 장미축제잔아,"['장미', '축제']"
knp9972,카메라부대 출동,"['카메라', '부대', '출동']"
knp9972,팝콘은 딸기맛이지,"['팝콘', '딸기']"
_eun122o,@rj97.insta.gram 집앞인뎅...😅,['집앞']
s.h______l,@_dain_nabee 다똥델꼬 고고,"['다똥델꼬', '고고']"
eun_e94,@however_9406 군자교!,['군자']
_neul_.22,@0nerain.o2 구날 의정부에서 본 개 우리 동네부터 이어진게 마자써,"['의정부', '우리', '동네', '이어진', '마자']"
gj__lolq,@dh__lo3l,
q.taks_,@u.nas_ ❤,
